EnglishCommon,LatinSpecies,Family,Order,Length,Voice
Abert's Towhee,Melozone aberti,Passerellidae,Passeriformes,22.15,"Pairs frequently deliver a 'squeal duet,' a rapid jumble of scratchy notes, and this can be a good way to locate the species. They also make a high-pitched, distinctive, ringing  "" seep "" or  "" peep "" call. Males occasionally sing a very simple series of sweet, ringing, staccato  "" peep "" call notes on the same pitch, usually introduced with a lower-pitched note."
Acadian Flycatcher,Empidonax virescens,Tyrannidae,Passeriformes,14.5,"Typical calls include a sharp  "" pwit  "" and a series of slowly trilled twittered notes. Acadian Flycatchers sing a short, explosive  "" tee-chup  "" or  "" ker-chip  "" frequently throughout the breeding season, particularly in the morning. They also sing a 'dawn song' consisting of the territorial song interspersed with metallic  "" seet  "" notes given very rapidly. In addition they sing an 'evening song,' often in flight, consisting of a series of  "" pseet  "" calls followed by slurred chirps. These build to a climax, at which point the male flies above the canopy while continuing to sing."
Acorn Woodpecker,Melanerpes formicivorus,Picidae,Piciformes,21,"Their most common call is a loud, squeaky  "" waka-waka-waka "" , used for greeting family members, disputing territory boundaries, and squabbling in groups. They also give noisy trills, harsh repeated notes, chatters, and other calls. "
African Collared-Dove,Streptopelia roseogrisea,Columbidae,Columbiformes,26.5,"Song is a mellow  "" koo, kooroo. ""  Call a high-pitched  "" heh-heh-heh. ""  "
Alder Flycatcher,Empidonax alnorum,Tyrannidae,Passeriformes,15,"The primary contact call is a low, flat  "" pip. "" Males sing a burry  "" rreeee-BEEP  "" or  "" free-beer! "" , reminiscent of but thinner than an Eastern Phoebe's song."
Allen's Hummingbird,Selasphorus sasin,Trochilidae,Caprimulgiformes,9,"Males and females frequently give a sharp tick while feeding. If another hummingbird tries to intrude on a male's territory, he gives a quick 3-parted tinkling buzz from his perch. Females make the same sound in response to a displaying male. "
Altamira Oriole,Icterus gularis,Icteridae,Passeriformes,23,"A clipped  "" ike  "" is the most commonly heard call, likely used as a contact call. Harsh chattering calls are also common. Both adults also give a sweet, two-note whistle when approaching young with food. Males sing a pleasant-sounding series of whistled phrases, some rising, others falling in tone, with regular pauses between the phrases, and occasional harsh chattering interspersed."
American Avocet,Recurvirostra americana,Recurvirostridae,Charadriiformes,45,"The call of male and female American Avocets is a repeated, high-pitched  "" kleet "" . They are generally silent, calling only when disturbed. "
American Bittern,Botaurus lentiginosus,Ardeidae,Pelecaniformes,72.5,"When flushed, American Bitterns often emit a hoarse  "" kok-kok-kok "" or nasal  "" haink "" . Males may give a continual  "" chu-peep "" call during mating. To communicate with each other through dense vegetation American Bitterns use low-frequency calls, which carry farther than higher-pitched sounds. During breeding season the males make a bizarre, resonant three-syllable  "" pump-er-lunk "" call with a liquid quality; females may respond with a similar but quieter sound. The male's call is preceded by clacking and gulping. To accomplish the  "" pump-er-lunk "" sound, the male inflates his esophagus by way of almost violent body contortions—opening and closing his bill as if lunging for flying insects—and then uses the stored air to unleash his call. Repeated up to 10 times in succession, the call probably serves as both a territorial signal and an advertisement for mates. "
American Black Duck,Anas rubripes,Anatidae,Anseriformes,56.5,"American Black Duck females give loud quacks, along with a six-syllable call that falls in pitch, with an accent on the second syllable. Males have raspy, reedy calls and they give a flutelike whistle during courtship. "
American Coot,Fulica americana,Rallidae,Gruiformes,41.15,"Although none of the vocalizations of American Coot can properly be considered a 'song,' this is a highly vocal species that calls with a variety of grunting, croaking, and squawking noises. The most common call is a short single-noted  "" krrp "" or  "" prik "" . "
American Crow,Corvus brachyrhynchos,Corvidae,Passeriformes,46.5,"Crows have more than 20 calls. The most common, a harsh caw, has several qualities and lengths that may serve different purposes. Immature begging young American Crows give a higher-pitched, nasal call that can sound like a Fish Crow. You may also hear a variety of calls and alert calls given to rally others to mob predators. The American Crow is not known for the beauty of its song, a series of loud caws. You may also hear crows making a 'subsong': a mixture of hoarse or grating coos, caws, rattles, and clicks. These are arranged in sequences that can be many minutes long, given quietly and with a rambling, improvised quality."
American Dipper,Cinclus mexicanus,Cinclidae,Passeriformes,17,"Call is a sharp  "" zeet. ""  Song is clear and ringing, with repeated notes."
American Golden-Plover,Pluvialis dominica,Charadriidae,Charadriiformes,26,"Flight call a whistled  "" que-del, ""  or  "" tuu-u-ee. ""  Song a rapid series of abrupt whistled notes."
American Goldfinch,Spinus tristis,Fringillidae,Passeriformes,12,"The American Goldfinch's most common call is its contact call, often given in flight. It sounds like the bird is quietly saying  "" po-ta-to-chip "" with a very even cadence. Birds sometimes give harsh threat calls when in feeding flocks or at the nest. Males make a  "" tee-yee "" courtship call upon landing near a female in spring or early summer, often followed by a burst of song. Females brooding nestlings make a rapid sequence of high notes when they hear their mate approaching with food. Birds at their nest make a loud, two-parted  "" bay-bee "" call if they feel threatened. Males sing a long and variable series of twitters and warbles that can be several seconds long. The notes and phrases are variable and repeated in a seemingly random order. Birds continue to learn song patterns throughout life."
American Kestrel,Falco sparverius,Falconidae,Falconiformes,26.5,"American Kestrels have a fairly limited set of calls, but the most common one is a loud, excited series of 3-6  "" klee! "" or  "" killy! "" notes lasting just over a second. It's distinctive and an excellent way to find these birds. You may also hear two other common calls: a long whine that can last 1-2 minutes, heard in birds that are courting or feeding fledglings, and a fast chitter, usually used by both sexes in friendly interactions. "
American Oystercatcher,Haematopus palliatus,Haematopodidae,Charadriiformes,42,"American Oystercatchers make several high-pitched, sharp, and incisive calls, usually written  "" peep "" ,  "" pip "" ,  "" hueep "" , and  "" weeer.  "" These function as pairing, contact, and alarm calls; most are far-carrying in the open environments the birds inhabit.  "
American Pipit,Anthus rubescens,Motacillidae,Passeriformes,15.5,"The most common call is a rising  "" pi-pit "" , usually given by flying birds, either singly or in flocks. Males on the nesting grounds give a variety of similar calls (often in rapid series) when confronting rivals, warning females of danger, or arriving with food at the nest. Females give a quick series of  "" wee "" calls when soliciting food from a mate and a soft  "" peet  "" when accepting the food.   Males sing a repeated  "" chwee  "" in flight (sometimes from the ground), with the delivery of notes quickening as the bird descends."
American Redstart,Setophaga ruticilla,Parulidae,Passeriformes,12,"Both the male and female use a variety of calls in different situations, including sharp, sweet-sounding  "" chip "" notes, soft  "" tsip "" calls, and high-pitched alarm calls. During breeding season the male sings a series of 2-11 thin, high-pitched notes, sometimes ending with an accented phrase. The building energy of the song and the abrupt, accented ending lead some people to describe the song as sneeze-like."
American Robin,Turdus migratorius,Turdidae,Passeriformes,24,"American Robins often make a mumbled  "" cuck "" or  "" tuk "" to communicate with each other or a sharp  "" yeep "" or  "" peek "" as an alarm call. They also make a repeated  "" chirr "" that rises in volume and can sound like a laugh or chuckle. The musical song of the American Robin is a familiar sound of spring. It's a string of 10 or so clear whistles assembled from a few often-repeated syllables, and often described as  "" cheerily, cheer up, cheer up, cheerily, cheer up "" . The syllables rise and fall in pitch but are delivered at a steady rhythm, with a pause before the bird begins singing again. At dawn, the song is more rapid."
American Three-toed Woodpecker,Picoides dorsalis,Picidae,Piciformes,22,"The most commonly heard calls are a sharp  "" pik "" or nasal  "" klimp "" . These calls are higher in pitch than similar calls of Black-backed. Both sexes also give a descending, fussy rattle like other small woodpeckers and recalling a kingfisher call, often delivered in flight. Birds performing displays together give a twittering call. "
American Tree Sparrow,Spizelloides arborea,Passerellidae,Passeriformes,14,"When feeding or foraging in flocks, American Tree Sparrows toss back and forth a musical twitter, sometimes described as a  "" teel-wit "" or  "" teedle-eet "" , which may vary from flock to flock. Alarmed, they give a hard  "" tseet "" . In flight, they make a softer  "" tsiew "" . Females solicit copulation with a  "" whey-whey-whey "" while fluttering their wings and raising their tails. Males sing a series of high, sweet whistled notes, generally falling slightly in pitch overall, often with clearer notes followed by more complex patterns. A song lasts about 1-2 seconds. There are many song dialects, each shared by many males, but each male sings only one. Singing begins in late winter before the spring migration."
American White Pelican,Pelecanus erythrorhynchos,Pelecanidae,Pelecaniformes,146,"Adults are usually silent. In aggressive and sexual encounters at the colony site, they emit frequent low, brief grunts. Chick embryos squawk before hatching to express discomfort if conditions get too hot or cold. The begging calls (described as a  "" whining grunt "" ) of hundreds of older young in the colony can be raucous.. "
American Wigeon,Mareca americana,Anatidae,Anseriformes,50.5,"American Wigeons are one of the more vocal dabbling ducks. Males give slow, high-pitched whistles year-round: during courtship, when sensing danger or disturbance, and as contact calls. Their 3-parted nasal whistle sounds a bit like someone softly blowing through a kazoo. Females don't whistle, but instead give a harsh, grating grunt or growl during courtship. "
American Woodcock,Scolopax minor,Scolopacidae,Charadriiformes,28,"Displaying males give a repeated, buzzy, nasal  "" peent "" while on the ground between flights. In the air, a displaying male chirps melodically for as long as 15 seconds as he zigzags downward from the apex of his display flight. "
Ancient Murrelet,Synthliboramphus antiquus,Alcidae,Charadriiformes,22,"Widely varied vocal repertoire around the nesting colony, consisting mostly of a rhythmic series of chirrups and chips. "
Anhinga,Anhinga anhinga,Anhingidae,Suliformes,85,Anhingas are generally silent expect when they are near the nest. Males and females make a loud clicking sound during nest exchanges that sounds a little like a treadle-operated sewing machine or a croaking frog with a sore throat.  
Anna's Hummingbird,Calypte anna,Trochilidae,Caprimulgiformes,10,"Calls are a series of short, sharp chip notes that may be given one at a time or one after another to make a twittering sound. Anna's Hummingbirds have a distinctive song that is long for a hummingbird (10 seconds or more). It's a series of buzzes, then a clearer, more tuneful whistle, followed by more emphatic chip notes; then the bird may repeat the whole set of buzz-whistle-chip sounds. It may not sound like it could be coming from a hummingbird, but once you learn to recognize it this can be a very good way to locate singing males."
Aplomado Falcon,Falco femoralis,Falconidae,Falconiformes,40.5,"The Aplomado Falcon's call is a staccato  "" kek  "" similar to the call given by American Kestrels. They also give a slower  "" kek "" at irregular intervals generally to communicate with their mate. "
Arctic Tern,Sterna paradisaea,Laridae,Charadriiformes,33.5,"Arctic Terns like other terns are boisterous birds, frequently giving shrill, grating, and high-pitched calls. When Arctic Terns are foraging or taking off from the colony they often give a high-pitched  "" kip "" . Alarmed birds make a shrill and grating scream that is higher in pitch and less grating than the similar Common Tern.  "
Arctic Warbler,Phylloscopus borealis,Phylloscopidae,Passeriformes,12," Loud and vigorous, fast and musical, but rather monotonous trill, often preceded by one or more sharp  "" tzick ""  sounds."
Arizona Woodpecker,Dryobates arizonae,Picidae,Piciformes,19,"Both sexes give a loud  "" pik "" call, similar to the most commonly heard call of Hairy Woodpecker. Males give a descending, fussy rattle and both sexes a flickerlike  "" wicka-wicka-wicka  "" when disturbed. Nesting pairs give a variety of other subtle calls near the nest. "
Ash-throated Flycatcher,Myiarchus cinerascens,Tyrannidae,Passeriformes,20,"Ash-throated Flycatchers have 4 distinct calls that they give singly, in pairs, or in combination. They make a short and rapid  "" huit "" call or string them together into a trill that lasts for 4-5 seconds. The  "" br-ick "" call is less than 1 second long and rises in pitch. They give a  "" wheer "" that varies from relatively flat in pitch to rising or descending depending on their level of excitement. The final call is a short, low-pitched, burry  "" urg "" . They combine these 4 basic calls to form 2 additional calls that are often part of the dawn song, the  "" ka-brick "" and  "" ha-wheer "" calls. Males sing a repeated series of gurgling, burry notes just before dawn until about seven in the morning during the breeding season. Their non-musical song changes in pitch from high to low and sounds rather bumpy and stuttered as if they were sputtering through a whistle. The dawn song may include the  "" ha-wheer "" call or the  "" ka-brick "" call. The length of each song varies, but each burst is about 1 second long with about 2-3 seconds of silence between bursts."
Atlantic Puffin,Fratercula arctica,Alcidae,Charadriiformes,27.5,Atlantic Puffins are silent at sea. On land males often give a piglike grunt while flicking their head back to attract a female. In their breeding burrows they make a growling call similar to the sound of a muted toy chainsaw.  
Audubon's Oriole,Icterus graduacauda,Icteridae,Passeriformes,21.5,"Common calls include a rising, nasal  "" nyyyee  "" or  "" yehnk "" , ""  "" a harsh, staccato chatter (probably alarm calls), and a soft  "" piu "" , probably a contact call. Both male and female sing a rather slow, whistled, rising and falling song, recalling a slide whistle."
Bachman's Sparrow,Peucaea aestivalis,Passerellidae,Passeriformes,13.8,"Males and females give a thin high-pitched  "" tsew "" .  Male Bachman's Sparrows start their song with a long, clear or slightly buzzy note followed by a trill. Males sing throughout the day, typically from a perch above the ground. When males are agitated they also sing a bubbling song of slurs, whistles, and trills. "
Baird's Sandpiper,Calidris bairdii,Scolopacidae,Charadriiformes,16,"Migrants give a low-pitched, harsh, grating  "" kreep "" call similar to Pectoral Sandpiper's, probably an alarm call. On the breeding ground, adults also give this call as well as trills and a rising 'laughing' call. Males in display flight give a combination of vocalizations that serve as a song: a purring trill followed by rising  "" twoowee  "" calls, then closing with a different trill likened to chattering."
Baird's Sparrow,Centronyx bairdii,Passerellidae,Passeriformes,13,"The most common call is a high, week,  "" teep. "" One of the most distinctive sounds of the northern Great Plains, the song of the Baird's Sparrow is a descending series of clear, tinkling notes and ending in a trill. The song lasts up to about 3 seconds."
Bald Eagle,Haliaeetus leucocephalus,Accipitridae,Accipitriformes,83.5,"For such a powerful bird, the Bald Eagle emits surprisingly weak-sounding calls—usually a series of high-pitched whistling or piping notes. The female may repeat a single, soft, high-pitched note that has been called 'unlike any other calls in nature'; apparently this signals her readiness for copulation. "
